"customFlowLabel","deviceChosen","scanCompletedAt","severity","issueId","issueDescription","wcagConformance","url","pageTitle","context","howToFix","axeImpact","xpath","learnMore"
"None","Desktop","2026-02-23T17:27:21.851Z","needsReview","color-contrast","Text and background colors must meet minimum contrast requirements","wcag2aa,wcag143","https://www.gsa.gov/","Home | GSA","<a title=""Per diem lookup"" class=""usa-nav__menu-item scroller"" id=""perdiem-link"" data-scroll-to=""perdiem-section"" href=""javascript:;"">          Per diem lookup        </a>","Element's background color could not be determined due to a background gradient","serious","#perdiem-link","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=oobee"
"None","Desktop","2026-02-23T17:27:21.851Z","needsReview","color-contrast","Text and background colors must meet minimum contrast requirements","wcag2aa,wcag143","https://www.gsa.gov/","Home | GSA","<h1 class=""text-shadow"">Delivering effective and efficient government services for the American people</h1>","Element's background color could not be determined because element contains an image node","serious","h1","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=oobee"
"None","Desktop","2026-02-23T17:27:21.851Z","needsReview","color-contrast","Text and background colors must meet minimum contrast requirements","wcag2aa,wcag143","https://www.gsa.gov/","Home | GSA","<a class=""usa-fill outline-0"" href=""/real-estate"">REAL ESTATE&nbsp;</a>","Element's background color could not be determined due to a background image","serious","h2 > a[href$=""real-estate""]","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=oobee"
"None","Desktop","2026-02-23T17:27:21.851Z","needsReview","color-contrast","Text and background colors must meet minimum contrast requirements","wcag2aa,wcag143","https://www.gsa.gov/","Home | GSA","<a class=""usa-fill outline-0"" href=""/buying-selling"">BUY THROUGH US</a>","Element's background color could not be determined due to a background image","serious","a[href$=""buying-selling""]","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=oobee"
"None","Desktop","2026-02-23T17:27:21.851Z","needsReview","color-contrast","Text and background colors must meet minimum contrast requirements","wcag2aa,wcag143","https://www.gsa.gov/","Home | GSA","<a class=""usa-fill outline-0"" href=""/sell"">SELL TO GOVERNMENT</a>","Element's background color could not be determined due to a background image","serious","a[href$=""sell""]","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=oobee"
"None","Desktop","2026-02-23T17:27:21.851Z","needsReview","color-contrast","Text and background colors must meet minimum contrast requirements","wcag2aa,wcag143","https://www.gsa.gov/","Home | GSA","<a class=""usa-fill outline-0"" href=""/technology"">TECHNOLOGY</a>","Element's background color could not be determined due to a background image","serious","h2 > a[href$=""technology""]","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=oobee"
"None","Desktop","2026-02-23T17:27:21.851Z","needsReview","color-contrast","Text and background colors must meet minimum contrast requirements","wcag2aa,wcag143","https://www.gsa.gov/","Home | GSA","<h2 class=""section-header"">PER DIEM LOOK-UP</h2>","Element's background color could not be determined due to a background gradient","serious",".perdiem-step-1 > header > .section-header","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=oobee"
"None","Desktop","2026-02-23T17:27:21.851Z","needsReview","color-contrast","Text and background colors must meet minimum contrast requirements","wcag2aa,wcag143","https://www.gsa.gov/","Home | GSA","<h3 class=""perdiem-step tablet-lg:margin-left-neg-5"">                <span class=""step1"">1</span>                Choose a location              </h3>","Element's background color could not be determined due to a background gradient","serious",".tablet-lg\:grid-col-6.tablet-lg\:padding-x-8:nth-child(1) > .perdiem-step.tablet-lg\:margin-left-neg-5","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=oobee"
"None","Desktop","2026-02-23T17:27:21.851Z","needsReview","color-contrast","Text and background colors must meet minimum contrast requirements","wcag2aa,wcag143","https://www.gsa.gov/","Home | GSA","<span class=""step1"">1</span>","Element content is too short to determine if it is actual text content","serious",".step1","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=oobee"
"None","Desktop","2026-02-23T17:27:21.851Z","needsReview","color-contrast","Text and background colors must meet minimum contrast requirements","wcag2aa,wcag143","https://www.gsa.gov/","Home | GSA","<label class=""usa-label"" for=""perdiem-state"">State</label>","Element's background color could not be determined due to a background gradient","serious","label[for=""perdiem-state""]","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=oobee"
"None","Desktop","2026-02-23T17:27:21.851Z","needsReview","color-contrast","Text and background colors must meet minimum contrast requirements","wcag2aa,wcag143","https://www.gsa.gov/","Home | GSA","<select autocomplete=""off"" class=""usa-select"" id=""perdiem-state"">","Element's background color could not be determined due to a background gradient","serious","#perdiem-state","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=oobee"
"None","Desktop","2026-02-23T17:27:21.851Z","needsReview","color-contrast","Text and background colors must meet minimum contrast requirements","wcag2aa,wcag143","https://www.gsa.gov/","Home | GSA","<span class=""or-break"">                  OR                </span>","Element's background color could not be determined because it's partially obscured by another element","serious",".tablet-lg\:grid-col-6.tablet-lg\:padding-x-8:nth-child(1) > .line-or-break > .or-break","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=oobee"
"None","Desktop","2026-02-23T17:27:21.851Z","needsReview","color-contrast","Text and background colors must meet minimum contrast requirements","wcag2aa,wcag143","https://www.gsa.gov/","Home | GSA","<label class=""usa-label"" for=""perdiem-zip"">ZIP</label>","Element's background color could not be determined due to a background gradient","serious","label[for=""perdiem-zip""]","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=oobee"
